make,model,car,variant,body_type,fuel_type,fuel_system,type,drivetrain,displacement(cc),cylinders,mileage(kms/lit),power(hp),torque,fuel_tank,height(mm),length(mm),width(mm),doors,seats,wheelbase(mm),airbags,price($)
Tata,Nano Genx,Tata Nano Genx,Xt,Hatchback,Petrol,Injection,Manual,RWD (Rear Wheel Drive),624,2,23.6,37.48,51,24,1652,3164,1750,5,4,2230,0,4097
Tata,Nano Genx,Tata Nano Genx,Xe,Hatchback,Petrol,Injection,Manual,RWD (Rear Wheel Drive),624,2,23.6,37.48,51,24,1652,3164,1750,5,4,2230,0,3310
Tata,Nano Genx,Tata Nano Genx,Xta,Hatchback,Petrol,Injection,Automatic,RWD (Rear Wheel Drive),624,2,21.9,37.48,51,24,1652,3164,1750,5,4,2230,0,4686
Tata,Nano Genx,Tata Nano Genx,Xm,Hatchback,Petrol,Injection,Manual,RWD (Rear Wheel Drive),624,2,23.6,37.48,51,24,1652,3164,1750,5,4,2230,0,3811
Tata,Nano Genx,Tata Nano Genx,Xma,Hatchback,Petrol,Injection,Automatic,RWD (Rear Wheel Drive),624,2,21.9,37.48,51,24,1652,3164,1750,5,4,2230,0,4407
Datsun,Redi-Go,Datsun Redi-Go,D,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1541,3429,1560,5,5,2348,0,3915
Datsun,Redi-Go,Datsun Redi-Go,T,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1541,3429,1560,5,5,2348,0,4925
Datsun,Redi-Go,Datsun Redi-Go,A,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1541,3429,1560,5,5,2348,0,4667
Datsun,Redi-Go,Datsun Redi-Go,S,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1541,3429,1560,5,5,2348,0,5068
Datsun,Redi-Go,Datsun Redi-Go,1.0 S,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),999,3,22.5,67.07,91,28,1541,3429,1560,5,5,2348,0,5460
Datsun,Redi-Go,Datsun Redi-Go,1.0 S Amt,Hatchback,Petrol,Injection,Automatic,FWD (Front Wheel Drive),999,3,23,67.07,91,28,1541,3429,1560,5,5,2348,0,6118
Renault,Kwid,Renault Kwid,Rxe 0.8,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1490,3731,1579,5,5,2422,1,4946
Renault,Kwid,Renault Kwid,Std 0.8,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1490,3731,1579,5,5,2442,1,3966
Renault,Kwid,Renault Kwid,Rxl 0.8,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1490,3731,1579,5,5,2422,1,5366
Renault,Kwid,Renault Kwid,Rxt 0.8,Hatchback,Petrol,Injection,Manual,FWD (Front Wheel Drive),799,3,25.17,53.26,72,28,1490,3731,1580,5,5,2422,1,5786
